import time: self [us] | cumulative | imported package
import time:      1133 |       1133 |                         _overlapped
import time:       767 |        767 |                         asyncio.base_subprocess
import time:      1068 |       1068 |                         asyncio.proactor_events
import time:      1394 |       1394 |                         asyncio.selector_events
import time:       277 |        277 |                               zlib
import time:       831 |        831 |                                 _compression
import time:       725 |        725 |                                 _bz2
import time:      1377 |       2931 |                               bz2
import time:       839 |        839 |                                 _lzma
import time:       989 |       1827 |                               lzma
import time:      2112 |       7145 |                             shutil
import time:      1091 |       8236 |                           tempfile
import time:       947 |       9183 |                         asyncio.windows_utils
import time:      2332 |      15875 |                       asyncio.windows_events
import time:      2578 |      72244 |                     asyncio
import time:       190 |      72434 |                   asyncio.coroutines
import time:     11994 |      87471 |                 pydantic_core.core_schema
import time:      1833 |      92181 |               pydantic_core
import time:       897 |        897 |               pydantic._internal
import time:       753 |        753 |                   pydantic._internal._internal_dataclass
import time:      2597 |       3350 |                 pydantic.aliases
import time:      1818 |       1818 |                 pydantic.config
import time:       718 |        718 |                 pydantic.warnings
import time:      1774 |       7659 |               pydantic._internal._config
import time:      1523 |       1523 |                           sysconfig
import time:      1614 |       3137 |                         zoneinfo._tzpath
import time:       896 |        896 |                         zoneinfo._common
import time:       683 |        683 |                         _zoneinfo
import time:      1701 |       6416 |                       zoneinfo
import time:      1109 |       7525 |                     pydantic._internal._typing_extra
import time:       842 |       8366 |                   pydantic._internal._repr
import time:      1170 |       9536 |                 pydantic._internal._core_utils
import time:      5893 |      15429 |               pydantic._internal._decorators
import time:       824 |        824 |                 pydantic._internal._docs_extraction
import time:      1746 |       1746 |                 pydantic._internal._import_utils
import time:      1404 |       3974 |               pydantic._internal._fields
import time:      1197 |       1197 |               pydantic._internal._forward_ref
import time:      1605 |       1605 |                 pydantic._internal._utils
import time:      1637 |       3242 |               pydantic._internal._generics
import time:      1282 |       1282 |                   pydantic.plugin
import time:      1323 |       2605 |                 pydantic.plugin._schema_validator
import time:      1365 |       3970 |               pydantic._internal._mock_val_ser
import time:       729 |        729 |                     _uuid
import time:      1269 |       1997 |                   uuid
import time:       690 |        690 |                   pydantic.annotated_handlers
import time:       716 |        716 |                     pydantic._internal._core_metadata
import time:      5344 |       6060 |                   pydantic.functional_validators
import time:       850 |        850 |                     pydantic._internal._schema_generation_shared
import time:      3199 |       4049 |                   pydantic.json_schema
import time:       896 |        896 |                   pydantic._internal._discriminated_union
import time:       888 |        888 |                   pydantic._internal._known_annotated_metadata
import time:      3364 |      17942 |                 pydantic._internal._generate_schema
import time:       767 |        767 |                 pydantic._internal._signature
import time:       635 |        635 |                 pydantic._internal._validate_call
import time:      1607 |      20951 |               pydantic._internal._model_construction
import time:       309 |        309 |                 agent_cascade.prompts
import time:       742 |       1050 |               agent_cascade.prompts.dna
import time:      9310 |       9310 |                 annotated_types
import time:       862 |        862 |                 pydantic._internal._validators
import time:      7340 |       7340 |                 pydantic.types
import time:      2970 |      20480 |               pydantic.fields
import time:        86 |         86 |                     _csv
import time:       930 |       1016 |                   csv
import time:       862 |        862 |                   email
import time:       687 |        687 |                       zipfile._path.glob
import time:      1460 |       2147 |                     zipfile._path
import time:      2074 |       4220 |                   zipfile
import time:       637 |        637 |                       quopri
import time:      1345 |       1345 |                           calendar
import time:       851 |       2195 |                         email._parseaddr
import time:       755 |        755 |                           email.base64mime
import time:       927 |        927 |                           email.quoprimime
import time:       850 |        850 |                           email.errors
import time:       554 |        554 |                           email.encoders
import time:      1676 |       4759 |                         email.charset
import time:      1254 |       8208 |                       email.utils
import time:      1005 |       1005 |                         email.header
import time:       979 |       1984 |                       email._policybase
import time:       803 |        803 |                       email._encoded_words
import time:       688 |        688 |                       email.iterators
import time:      2108 |      14425 |                     email.message
import time:       624 |        624 |                       importlib.metadata._functools
import time:      1013 |       1637 |                     importlib.metadata._text
import time:      1258 |      17319 |                   importlib.metadata._adapters
import time:       978 |        978 |                   importlib.metadata._meta
import time:      1535 |       1535 |                   importlib.metadata._collections
import time:       805 |        805 |                   importlib.metadata._itertools
import time:       931 |        931 |                         importlib.resources.abc
import time:       856 |        856 |                         importlib.resources._adapters
import time:      2867 |       4654 |                       importlib.resources._common
import time:       708 |        708 |                       importlib.resources._legacy
import time:      1258 |       6619 |                     importlib.resources
import time:      1210 |       7829 |                   importlib.abc
import time:      3310 |      37870 |                 importlib.metadata
import time:       959 |      38828 |               pydantic.plugin._loader
import time:      1148 |       1148 |                 pydantic._internal._serializers
import time:      2566 |       3714 |               pydantic._internal._std_types_schema
import time:     89271 |     313376 |             agent_cascade.llm.schema
import time:       683 |        683 |               agent_cascade.instance_id
import time:       882 |        882 |                   _compat_pickle
import time:       112 |        112 |                   _pickle
import time:      1780 |       2773 |                 pickle
import time:       959 |        959 |                   _queue
import time:      1056 |       2015 |                 queue
import time:      2097 |       6883 |               logging.handlers
import time:      1976 |       9542 |             agent_cascade.log
import time:      1711 |       1711 |             agent_cascade.settings
import time:       506 |        506 |             agent_cascade.exceptions
import time:       697 |        697 |                   agent_cascade.constants
import time:       823 |       1520 |                 agent_cascade.utils.disabled_tools
import time:       629 |       2148 |               agent_cascade.utils
import time:       871 |        871 |               unicodedata
import time:       697 |        697 |                   concurrent.futures.thread
import time:      1858 |       1858 |                         regex._regex
import time:      5640 |       7498 |                       regex._regex_core
import time:       194 |        194 |                       regex.DEFAULT_VERSION
import time:      1723 |       9414 |                     regex.regex
import time:      1164 |      10577 |                   regex
import time:       479 |        479 |                   tiktoken._tiktoken
import time:      1479 |      13231 |                 tiktoken.core
import time:       785 |        785 |                     pkgutil
import time:       929 |        929 |                     tiktoken_ext
import time:       876 |       2589 |                   tiktoken.registry
import time:       804 |       3393 |                 tiktoken.model
import time:      1485 |      18108 |               tiktoken
import time:    238271 |     259396 |             agent_cascade.utils.tokenization_qwen
import time:      1701 |       1701 |                   json5.parser
import time:      1519 |       3220 |                 json5.lib
import time:       845 |        845 |                 json5.version
import time:      1636 |       5700 |               json5
import time:       722 |        722 |                     numpy._utils._convertions
import time:       863 |       1585 |                   numpy._utils
import time:      1365 |       2950 |                 numpy._globals
import time:       776 |        776 |                 numpy._expired_attrs_2_0
import time:       506 |        506 |                 numpy.version
import time:       105 |        105 |                   numpy._distributor_init_local
import time:       706 |        811 |                 numpy._distributor_init
import time:       480 |        480 |                           numpy._utils._inspect
import time:       755 |        755 |                             numpy.exceptions
import time:       716 |        716 |                             numpy._core._exceptions
import time:       488 |        488 |                             numpy._core.printoptions
import time:       627 |        627 |                             numpy.dtypes
import time:      4853 |       7439 |                           numpy._core._multiarray_umath
import time:      1072 |       8989 |                         numpy._core.overrides
import time:      1442 |      10431 |                       numpy._core.multiarray
import time:       714 |        714 |                       numpy._core.umath
import time:       561 |        561 |                         numpy._core._string_helpers
import time:      1213 |       1213 |                         numpy._core._type_aliases
import time:       594 |        594 |                         numpy._core._dtype
import time:      1304 |       3670 |                       numpy._core.numerictypes
import time:       772 |        772 |                             numpy._core._methods
import time:      1432 |       2203 |                           numpy._core.fromnumeric
import time:       888 |       3091 |                         numpy._core.shape_base
import time:       755 |        755 |                         numpy._core._ufunc_config
import time:       992 |        992 |                         numpy._core.arrayprint
import time:       649 |        649 |                         numpy._core._asarray
import time:      2325 |       7809 |                       numpy._core.numeric
import time:      1210 |       1210 |                       numpy._core.records
import time:       880 |        880 |                       numpy._core.memmap
import time:       772 |        772 |                       numpy._core.function_base
import time:       692 |        692 |                       numpy._core._machar
import time:      1132 |       1132 |                       numpy._core.getlimits
import time:       930 |        930 |                       numpy._core.einsumfunc
import time:      1608 |       1608 |                       numpy._core._add_newdocs
import time:       917 |        917 |                       numpy._core._add_newdocs_scalars
import time:       750 |        750 |                       numpy._core._dtype_ctypes
import time:      1814 |       1814 |                           _ctypes
import time:      1259 |       1259 |                           ctypes._endian
import time:      2262 |       5334 |                         ctypes
import time:      1613 |       6947 |                       numpy._core._internal
import time:       885 |        885 |                       numpy._pytesttester
import time:      4741 |      44079 |                     numpy._core
import time:       211 |      44290 |                   numpy._core._multiarray_umath
import time:      1067 |      45356 |                 numpy.__config__
import time:       599 |        599 |                     numpy.lib._array_utils_impl
import time:      1038 |       1637 |                   numpy.lib.array_utils
import time:       708 |        708 |                   numpy.lib.introspect
