import time: self [us] | cumulative | imported package
import time:       899 |       3725 |                         openai._utils._utils
import time:       958 |       4682 |                       openai._utils._logs
import time:      1320 |       1320 |                             anyio._core
import time:      1686 |       3005 |                           anyio._core._eventloop
import time:      1414 |       1414 |                           anyio._core._exceptions
import time:      1558 |       1558 |                                 anyio.abc._eventloop
import time:      1006 |       1006 |                                 anyio.abc._resources
import time:       722 |        722 |                                   anyio._core._typedattr
import time:       689 |        689 |                                     anyio.abc._tasks
import time:      1532 |       2220 |                                   anyio.abc._streams
import time:      1543 |       4485 |                                 anyio.abc._sockets
import time:       551 |        551 |                                 anyio.abc._subprocesses
import time:       538 |        538 |                                 anyio.abc._testing
import time:      1548 |       1548 |                                   anyio.lowlevel
import time:      1186 |       1186 |                                   anyio._core._tasks
import time:       668 |        668 |                                   anyio._core._testing
import time:      5311 |       8712 |                                 anyio._core._synchronization
import time:      1564 |       1564 |                                 anyio.from_thread
import time:      2614 |      21025 |                               anyio.abc
import time:      1171 |      22196 |                             anyio.to_thread
import time:      2113 |      24309 |                           anyio._core._fileio
import time:       754 |        754 |                           anyio._core._resources
import time:       678 |        678 |                           anyio._core._signals
import time:       718 |        718 |                               anyio.streams
import time:      1846 |       2563 |                             anyio.streams.stapled
import time:      1347 |       1347 |                             anyio.streams.tls
import time:      1328 |       5237 |                           anyio._core._sockets
import time:      2118 |       2118 |                             anyio.streams.memory
import time:       797 |       2915 |                           anyio._core._streams
import time:       605 |        605 |                           anyio._core._subprocesses
import time:       857 |        857 |                           anyio._core._tempfile
import time:      4058 |      43827 |                         anyio
import time:       887 |      44713 |                       openai._utils._sync
import time:      1340 |       1340 |                       openai._utils._proxy
import time:      1282 |       1282 |                         openai._utils._datetime_parse
import time:      1045 |       2327 |                       openai._utils._compat
import time:       844 |        844 |                       openai._utils._typing
import time:       679 |        679 |                       openai._utils._streams
import time:       872 |        872 |                         openai._files
import time:      1077 |       1949 |                       openai._utils._transform
import time:       714 |        714 |                       openai._utils._reflection
import time:      2632 |      59877 |                     openai._utils
import time:      1281 |       1281 |                     openai._compat
import time:       657 |        657 |                     openai._constants
import time:     12484 |      76205 |                   openai._models
import time:      1084 |       1084 |                   openai.types.batch_error
import time:      1127 |       1127 |                   openai.types.batch_usage
import time:       778 |        778 |                       openai.types.shared.metadata
import time:       576 |        576 |                         openai.types.shared.reasoning_effort
import time:      1075 |       1651 |                       openai.types.shared.reasoning
import time:       564 |        564 |                         openai.types.shared.chat_model
import time:       874 |       1437 |                       openai.types.shared.all_models
import time:       741 |        741 |                       openai.types.shared.error_object
import time:       831 |        831 |                         openai.types.shared.comparison_filter
import time:      1028 |       1858 |                       openai.types.shared.compound_filter
import time:       532 |        532 |                       openai.types.shared.responses_model
import time:       498 |        498 |                         openai.types.shared.function_parameters
import time:      1039 |       1536 |                       openai.types.shared.function_definition
import time:      2013 |       2013 |                       openai.types.shared.response_format_text
import time:      1236 |       1236 |                       openai.types.shared.custom_tool_input_format
import time:       732 |        732 |                       openai.types.shared.response_format_json_object
import time:      1130 |       1130 |                       openai.types.shared.response_format_json_schema
import time:       811 |        811 |                       openai.types.shared.response_format_text_python
import time:       885 |        885 |                       openai.types.shared.response_format_text_grammar
import time:      3975 |      19308 |                     openai.types.shared
import time:       288 |      19596 |                   openai.types.shared.metadata
import time:       828 |        828 |                   openai.types.batch_request_counts
import time:      2915 |     101752 |                 openai.types.batch
import time:       856 |        856 |                 openai.types.image
import time:       759 |        759 |                 openai.types.model
import time:       541 |        541 |                   openai.types.video_size
import time:       876 |        876 |                   openai.types.video_model
import time:       705 |        705 |                   openai.types.video_seconds
import time:       799 |        799 |                   openai.types.video_create_error
import time:      1764 |       4684 |                 openai.types.video
import time:       945 |        945 |                   openai.types.file_object
import time:      1248 |       2193 |                 openai.types.upload
import time:       816 |        816 |                 openai.types.embedding
import time:       551 |        551 |                 openai.types.chat_model
import time:      1323 |       1323 |                   openai.types.completion_usage
import time:      1292 |       1292 |                   openai.types.completion_choice
import time:      1352 |       3966 |                 openai.types.completion
import time:      3274 |       3274 |                 openai.types.moderation
import time:       726 |        726 |                 openai.types.audio_model
import time:       582 |        582 |                 openai.types.image_model
import time:       597 |        597 |                 openai.types.file_content
import time:      1012 |       1012 |                 openai.types.file_deleted
import time:       874 |        874 |                 openai.types.file_purpose
import time:      1770 |       1770 |                 openai.types.vector_store
import time:      1220 |       1220 |                 openai.types.model_deleted
import time:       822 |        822 |                 openai.types.embedding_model
import time:      1994 |       1994 |                 openai.types.images_response
import time:      1002 |       1002 |                 openai.types.eval_list_params
import time:       735 |        735 |                 openai.types.file_list_params
import time:       677 |        677 |                 openai.types.moderation_model
import time:       700 |        700 |                 openai.types.batch_list_params
import time:      1042 |       1042 |                 openai.types.image_edit_params
import time:       788 |        788 |                 openai.types.video_list_params
import time:       611 |        611 |                 openai.types.video_model_param
import time:       909 |        909 |                       openai.types.shared_params.metadata
import time:      1156 |       1156 |                       openai.types.shared_params.reasoning
import time:       787 |        787 |                       openai.types.shared_params.chat_model
import time:       917 |        917 |                         openai.types.shared_params.comparison_filter
import time:       989 |       1905 |                       openai.types.shared_params.compound_filter
import time:       702 |        702 |                       openai.types.shared_params.responses_model
import time:       551 |        551 |                       openai.types.shared_params.reasoning_effort
import time:       440 |        440 |                         openai.types.shared_params.function_parameters
import time:       854 |       1294 |                       openai.types.shared_params.function_definition
import time:       549 |        549 |                       openai.types.shared_params.response_format_text
import time:      1086 |       1086 |                       openai.types.shared_params.custom_tool_input_format
import time:       857 |        857 |                       openai.types.shared_params.response_format_json_object
import time:       714 |        714 |                       openai.types.shared_params.response_format_json_schema
import time:      3810 |      14317 |                     openai.types.shared_params
import time:       235 |      14551 |                   openai.types.shared_params.metadata
import time:      1004 |       1004 |                         openai.types.graders.python_grader
import time:      2746 |       2746 |                                   openai.types.responses.web_search_tool
import time:      1357 |       1357 |                                   openai.types.responses.custom_tool
import time:      1453 |       1453 |                                   openai.types.responses.computer_tool
import time:      1486 |       1486 |                                   openai.types.responses.function_tool
import time:       877 |        877 |                                   openai.types.responses.apply_patch_tool
import time:      2580 |       2580 |                                   openai.types.responses.file_search_tool
import time:       936 |        936 |                                   openai.types.responses.function_shell_tool
import time:      1448 |       1448 |                                   openai.types.responses.web_search_preview_tool
import time:      6839 |      19718 |                                 openai.types.responses.tool
import time:       858 |        858 |                                   openai.types.responses.response_error
import time:      1376 |       1376 |                                   openai.types.responses.response_usage
import time:      1480 |       1480 |                                     openai.types.responses.response_input_file
import time:       894 |        894 |                                     openai.types.responses.response_input_text
import time:      1144 |       1144 |                                     openai.types.responses.response_input_image
import time:      1989 |       5506 |                                   openai.types.responses.response_prompt
import time:       641 |        641 |                                   openai.types.responses.response_status
import time:       909 |        909 |                                   openai.types.responses.tool_choice_mcp
import time:       782 |        782 |                                   openai.types.responses.tool_choice_shell
import time:      1019 |       1019 |                                   openai.types.responses.tool_choice_types
import time:       990 |        990 |                                   openai.types.responses.tool_choice_custom
import time:       550 |        550 |                                         openai.types.responses.response_input_content
import time:       901 |       1450 |                                       openai.types.responses.response_input_message_content_list
import time:      1257 |       2707 |                                     openai.types.responses.easy_input_message
import time:      2267 |       2267 |                                       openai.types.responses.response_output_text
import time:       763 |        763 |                                       openai.types.responses.response_output_refusal
import time:      1735 |       4763 |                                     openai.types.responses.response_output_message
import time:      1546 |       1546 |                                     openai.types.responses.response_reasoning_item
import time:       946 |        946 |                                     openai.types.responses.response_custom_tool_call
import time:      4075 |       4075 |                                     openai.types.responses.response_computer_tool_call
import time:      1187 |       1187 |                                     openai.types.responses.response_function_tool_call
import time:      2717 |       2717 |                                     openai.types.responses.response_function_web_search
import time:      1250 |       1250 |                                     openai.types.responses.response_compaction_item_param
import time:      2059 |       2059 |                                     openai.types.responses.response_file_search_tool_call
import time:      1609 |       1609 |                                     openai.types.responses.response_custom_tool_call_output
import time:      1790 |       1790 |                                     openai.types.responses.response_code_interpreter_tool_call
import time:       975 |        975 |                                         openai.types.responses.response_input_file_content
import time:      1008 |       1008 |                                         openai.types.responses.response_input_text_content
import time:       944 |        944 |                                         openai.types.responses.response_input_image_content
import time:      1530 |       4455 |                                       openai.types.responses.response_function_call_output_item
import time:      1203 |       5657 |                                     openai.types.responses.response_function_call_output_item_list
import time:      1586 |       1586 |                                     openai.types.responses.response_function_shell_call_output_content
import time:      1783 |       1783 |                                     openai.types.responses.response_computer_tool_call_output_screenshot
import time:     18755 |      52424 |                                   openai.types.responses.response_input_item
import time:      1114 |       1114 |                                   openai.types.responses.tool_choice_allowed
import time:       874 |        874 |                                   openai.types.responses.tool_choice_options
import time:      1303 |       1303 |                                     openai.types.responses.response_compaction_item
import time:      1798 |       1798 |                                     openai.types.responses.response_apply_patch_tool_call
import time:      1635 |       1635 |                                     openai.types.responses.response_function_shell_tool_call
import time:      1908 |       1908 |                                     openai.types.responses.response_apply_patch_tool_call_output
import time:      2292 |       2292 |                                     openai.types.responses.response_function_shell_tool_call_output
import time:      7157 |      16091 |                                   openai.types.responses.response_output_item
import time:       983 |        983 |                                       openai.types.responses.response_format_text_json_schema_config
import time:      1013 |       1996 |                                     openai.types.responses.response_format_text_config
import time:      1292 |       3288 |                                   openai.types.responses.response_text_config
import time:       888 |        888 |                                   openai.types.responses.tool_choice_function
import time:       772 |        772 |                                   openai.types.responses.tool_choice_apply_patch
import time:      6464 |      93989 |                                 openai.types.responses.response
import time:       945 |        945 |                                   openai.types.responses.web_search_tool_param
import time:      1154 |       1154 |                                         openai.types.chat.chat_completion_audio
import time:      1139 |       1139 |                                           openai.types.chat.chat_completion_message_custom_tool_call
import time:       925 |        925 |                                           openai.types.chat.chat_completion_message_function_tool_call
import time:      1484 |       3547 |                                         openai.types.chat.chat_completion_message_tool_call
import time:      2592 |       7292 |                                       openai.types.chat.chat_completion_message
import time:      1179 |       1179 |                                       openai.types.chat.chat_completion_token_logprob
import time:      3726 |      12196 |                                     openai.types.chat.chat_completion
import time:       804 |        804 |                                     openai.types.chat.chat_completion_role
import time:      2816 |       2816 |                                     openai.types.chat.chat_completion_chunk
import time:      1056 |       1056 |                                     openai.types.chat.completion_list_params
import time:      1336 |       1336 |                                       openai.types.chat.parsed_function_tool_call
import time:      2681 |       4017 |                                     openai.types.chat.parsed_chat_completion
import time:      1105 |       1105 |                                     openai.types.chat.chat_completion_deleted
import time:       720 |        720 |                                     openai.types.chat.chat_completion_modality
import time:       758 |        758 |                                       openai.types.chat.chat_completion_audio_param
import time:       715 |        715 |                                           openai.types.chat.chat_completion_content_part_text_param
import time:      1179 |       1894 |                                         openai.types.chat.chat_completion_tool_message_param
import time:       848 |        848 |                                             openai.types.chat.chat_completion_content_part_image_param
import time:       774 |        774 |                                             openai.types.chat.chat_completion_content_part_input_audio_param
import time:      1414 |       3035 |                                           openai.types.chat.chat_completion_content_part_param
import time:      1131 |       4166 |                                         openai.types.chat.chat_completion_user_message_param
import time:      1202 |       1202 |                                         openai.types.chat.chat_completion_system_message_param
import time:      1047 |       1047 |                                         openai.types.chat.chat_completion_function_message_param
import time:       781 |        781 |                                           openai.types.chat.chat_completion_content_part_refusal_param
import time:       873 |        873 |                                             openai.types.chat.chat_completion_message_custom_tool_call_param
import time:       979 |        979 |                                             openai.types.chat.chat_completion_message_function_tool_call_param
import time:      1279 |       3130 |                                           openai.types.chat.chat_completion_message_tool_call_union_param
import time:      1874 |       5784 |                                         openai.types.chat.chat_completion_assistant_message_param
import time:      1075 |       1075 |                                         openai.types.chat.chat_completion_developer_message_param
import time:      3271 |      18436 |                                       openai.types.chat.chat_completion_message_param
import time:       943 |        943 |                                         openai.types.chat.chat_completion_custom_tool_param
import time:       793 |        793 |                                         openai.types.chat.chat_completion_function_tool_param
import time:      1388 |       3123 |                                       openai.types.chat.chat_completion_tool_union_param
import time:       910 |        910 |                                       openai.types.chat.chat_completion_stream_options_param
import time:      2165 |       2165 |                                       openai.types.chat.chat_completion_prediction_content_param
import time:       956 |        956 |                                         openai.types.chat.chat_completion_named_tool_choice_param
import time:      1023 |       1023 |                                           openai.types.chat.chat_completion_allowed_tools_param
import time:      1495 |       2518 |                                         openai.types.chat.chat_completion_allowed_tool_choice_param
import time:       747 |        747 |                                         openai.types.chat.chat_completion_named_tool_choice_custom_param
import time:      1925 |       6144 |                                       openai.types.chat.chat_completion_tool_choice_option_param
import time:       948 |        948 |                                       openai.types.chat.chat_completion_function_call_option_param
import time:      4324 |      36805 |                                     openai.types.chat.completion_create_params
import time:       854 |        854 |                                     openai.types.chat.completion_update_params
import time:       636 |        636 |                                     openai.types.chat.chat_completion_tool_param
import time:       820 |        820 |                                     openai.types.chat.chat_completion_function_tool
import time:       734 |        734 |                                       openai.types.chat.chat_completion_content_part_text
import time:      1175 |       1175 |                                       openai.types.chat.chat_completion_content_part_image
import time:      1720 |       3628 |                                     openai.types.chat.chat_completion_store_message
import time:       751 |        751 |                                     openai.types.chat.chat_completion_reasoning_effort
import time:       718 |        718 |                                     openai.types.chat.chat_completion_message_tool_call_param
import time:      4611 |      71532 |                                   openai.types.chat
import time:       690 |        690 |                                   openai.types.responses.custom_tool_param
import time:      1353 |       1353 |                                   openai.types.responses.computer_tool_param
import time:      1089 |       1089 |                                   openai.types.responses.function_tool_param
import time:       737 |        737 |                                   openai.types.responses.apply_patch_tool_param
import time:      1047 |       1047 |                                   openai.types.responses.file_search_tool_param
import time:       668 |        668 |                                   openai.types.responses.function_shell_tool_param
import time:       869 |        869 |                                   openai.types.responses.web_search_preview_tool_param
import time:      4170 |      83097 |                                 openai.types.responses.tool_param
import time:      1732 |       1732 |                                   openai.types.responses.response_input_message_item
import time:      1323 |       1323 |                                   openai.types.responses.response_function_tool_call_item
import time:      1588 |       1588 |                                   openai.types.responses.response_computer_tool_call_output_item
import time:      1165 |       1165 |                                   openai.types.responses.response_function_tool_call_output_item
import time:      4546 |      10353 |                                 openai.types.responses.response_item
import time:      3696 |       3696 |                                 openai.types.responses.parsed_response
import time:      1428 |       1428 |                                 openai.types.responses.compacted_response
import time:      1145 |       1145 |                                 openai.types.responses.response_item_list
import time:       726 |        726 |                                 openai.types.responses.response_includable
import time:      1027 |       1027 |                                 openai.types.responses.response_error_event
import time:      1357 |       1357 |                                 openai.types.responses.response_input_audio
import time:       708 |        708 |                                       openai.types.responses.response_input_file_param
import time:       589 |        589 |                                       openai.types.responses.response_input_text_param
import time:       613 |        613 |                                       openai.types.responses.response_input_image_param
import time:      1447 |       3357 |                                     openai.types.responses.response_input_message_content_list_param
import time:       921 |       4277 |                                   openai.types.responses.easy_input_message_param
import time:      1223 |       1223 |                                     openai.types.responses.response_output_text_param
import time:       978 |        978 |                                     openai.types.responses.response_output_refusal_param
import time:      1249 |       3449 |                                   openai.types.responses.response_output_message_param
import time:      1569 |       1569 |                                   openai.types.responses.response_reasoning_item_param
import time:      1102 |       1102 |                                   openai.types.responses.response_custom_tool_call_param
import time:      1461 |       1461 |                                   openai.types.responses.response_computer_tool_call_param
import time:       729 |        729 |                                   openai.types.responses.response_function_tool_call_param
import time:       939 |        939 |                                   openai.types.responses.response_function_web_search_param
import time:       623 |        623 |                                   openai.types.responses.response_compaction_item_param_param
import time:       801 |        801 |                                   openai.types.responses.response_file_search_tool_call_param
import time:       711 |        711 |                                   openai.types.responses.response_custom_tool_call_output_param
import time:       883 |        883 |                                   openai.types.responses.response_code_interpreter_tool_call_param
import time:       980 |        980 |                                     openai.types.responses.response_input_file_content_param
import time:       799 |        799 |                                     openai.types.responses.response_input_text_content_param
import time:       905 |        905 |                                     openai.types.responses.response_input_image_content_param
import time:      1748 |       4431 |                                   openai.types.responses.response_function_call_output_item_list_param
import time:      1234 |       1234 |                                   openai.types.responses.response_function_shell_call_output_content_param
import time:      1229 |       1229 |                                   openai.types.responses.response_computer_tool_call_output_screenshot_param
import time:      7993 |      31425 |                                 openai.types.responses.response_input_param
import time:      1758 |       1758 |                                 openai.types.responses.response_failed_event
import time:       991 |        991 |                                 openai.types.responses.response_prompt_param
import time:      1204 |       1204 |                                 openai.types.responses.response_queued_event
import time:      1042 |       1042 |                                   openai.types.responses.response_created_event
import time:      1109 |       1109 |                                   openai.types.responses.response_completed_event
import time:      2186 |       2186 |                                   openai.types.responses.response_text_done_event
import time:      1103 |       1103 |                                   openai.types.responses.response_audio_done_event
import time:       934 |        934 |                                   openai.types.responses.response_incomplete_event
import time:      1841 |       1841 |                                   openai.types.responses.response_text_delta_event
import time:       880 |        880 |                                   openai.types.responses.response_audio_delta_event
import time:       850 |        850 |                                   openai.types.responses.response_in_progress_event
import time:      1312 |       1312 |                                   openai.types.responses.response_refusal_done_event
import time:      1470 |       1470 |                                   openai.types.responses.response_refusal_delta_event
import time:      1183 |       1183 |                                   openai.types.responses.response_mcp_call_failed_event
import time:      1121 |       1121 |                                   openai.types.responses.response_output_item_done_event
import time:      1867 |       1867 |                                   openai.types.responses.response_content_part_done_event
import time:      1311 |       1311 |                                   openai.types.responses.response_output_item_added_event
import time:      1742 |       1742 |                                   openai.types.responses.response_content_part_added_event
import time:      1310 |       1310 |                                   openai.types.responses.response_mcp_call_completed_event
import time:      1201 |       1201 |                                   openai.types.responses.response_reasoning_text_done_event
import time:      1010 |       1010 |                                   openai.types.responses.response_mcp_call_in_progress_event
import time:      1347 |       1347 |                                   openai.types.responses.response_reasoning_text_delta_event
import time:      1474 |       1474 |                                   openai.types.responses.response_audio_transcript_done_event
import time:      1018 |       1018 |                                   openai.types.responses.response_mcp_list_tools_failed_event
import time:      1019 |       1019 |                                   openai.types.responses.response_audio_transcript_delta_event
import time:      1237 |       1237 |                                   openai.types.responses.response_mcp_call_arguments_done_event
import time:      1200 |       1200 |                                   openai.types.responses.response_image_gen_call_completed_event
import time:      1213 |       1213 |                                   openai.types.responses.response_mcp_call_arguments_delta_event
import time:      1496 |       1496 |                                   openai.types.responses.response_mcp_list_tools_completed_event
import time:      1069 |       1069 |                                   openai.types.responses.response_image_gen_call_generating_event
import time:       894 |        894 |                                   openai.types.responses.response_web_search_call_completed_event
import time:       867 |        867 |                                   openai.types.responses.response_web_search_call_searching_event
import time:       963 |        963 |                                   openai.types.responses.response_file_search_call_completed_event
import time:       909 |        909 |                                   openai.types.responses.response_file_search_call_searching_event
import time:       874 |        874 |                                   openai.types.responses.response_image_gen_call_in_progress_event
import time:       855 |        855 |                                   openai.types.responses.response_mcp_list_tools_in_progress_event
import time:       906 |        906 |                                   openai.types.responses.response_custom_tool_call_input_done_event
import time:      1395 |       1395 |                                   openai.types.responses.response_reasoning_summary_part_done_event
import time:      1782 |       1782 |                                   openai.types.responses.response_reasoning_summary_text_done_event
import time:       994 |        994 |                                   openai.types.responses.response_web_search_call_in_progress_event
import time:      1176 |       1176 |                                   openai.types.responses.response_custom_tool_call_input_delta_event
import time:      1044 |       1044 |                                   openai.types.responses.response_file_search_call_in_progress_event
import time:      1202 |       1202 |                                   openai.types.responses.response_function_call_arguments_done_event
import time:      1164 |       1164 |                                   openai.types.responses.response_image_gen_call_partial_image_event
import time:      1504 |       1504 |                                   openai.types.responses.response_output_text_annotation_added_event
import time:      1451 |       1451 |                                   openai.types.responses.response_reasoning_summary_part_added_event
import time:      1399 |       1399 |                                   openai.types.responses.response_reasoning_summary_text_delta_event
import time:      1457 |       1457 |                                   openai.types.responses.response_function_call_arguments_delta_event
import time:      1730 |       1730 |                                   openai.types.responses.response_code_interpreter_call_code_done_event
import time:      1577 |       1577 |                                   openai.types.responses.response_code_interpreter_call_completed_event
import time:      1644 |       1644 |                                   openai.types.responses.response_code_interpreter_call_code_delta_event
import time:      1346 |       1346 |                                   openai.types.responses.response_code_interpreter_call_in_progress_event
import time:      1207 |       1207 |                                   openai.types.responses.response_code_interpreter_call_interpreting_event
import time:     18314 |      81174 |                                 openai.types.responses.response_stream_event
import time:      1046 |       1046 |                                 openai.types.responses.tool_choice_mcp_param
import time:      2014 |       2014 |                                 openai.types.responses.input_item_list_params
import time:       891 |        891 |                                   openai.types.responses.tool_choice_shell_param
import time:      1282 |       1282 |                                   openai.types.responses.tool_choice_types_param
import time:       753 |        753 |                                   openai.types.responses.tool_choice_custom_param
import time:       899 |        899 |                                   openai.types.responses.tool_choice_allowed_param
import time:      1418 |       1418 |                                       openai.types.responses.response_format_text_json_schema_config_param
import time:      1921 |       3339 |                                     openai.types.responses.response_format_text_config_param
import time:      1424 |       4763 |                                   openai.types.responses.response_text_config_param
import time:      1183 |       1183 |                                   openai.types.responses.tool_choice_function_param
import time:      1069 |       1069 |                                   openai.types.responses.response_conversation_param
import time:       848 |        848 |                                   openai.types.responses.tool_choice_apply_patch_param
import time:      4410 |      16093 |                                 openai.types.responses.response_create_params
import time:      4095 |       4095 |                                   openai.types.responses.response_input_item_param
import time:      1794 |       5888 |                                 openai.types.responses.response_compact_params
import time:      1380 |       1380 |                                 openai.types.responses.input_token_count_params
import time:      1450 |       1450 |                                 openai.types.responses.response_retrieve_params
import time:      1654 |       1654 |                                 openai.types.responses.input_token_count_response
import time:      2713 |       2713 |                                 openai.types.responses.response_input_audio_param
import time:      1190 |       1190 |                                 openai.types.responses.response_input_content_param
import time:      1034 |       1034 |                                 openai.types.responses.response_function_call_output_item_param
import time:      9185 |     376724 |                               openai.types.responses
import time:       262 |     376986 |                             openai.types.responses.response_input_text
import time:      1423 |     378409 |                           openai.types.graders.grader_inputs
import time:      1960 |     380369 |                         openai.types.graders.label_model_grader
import time:      2985 |       2985 |                         openai.types.graders.score_model_grader
import time:      1284 |       1284 |                         openai.types.graders.string_check_grader
import time:      1127 |       1127 |                         openai.types.graders.text_similarity_grader
import time:      2595 |     389362 |                       openai.types.graders.multi_grader
import time:       896 |        896 |                         openai.types.graders.python_grader_param
import time:       833 |        833 |                           openai.types.graders.grader_inputs_param
import time:      1461 |       2293 |                         openai.types.graders.label_model_grader_param
import time:      1181 |       1181 |                         openai.types.graders.score_model_grader_param
import time:       807 |        807 |                         openai.types.graders.string_check_grader_param
import time:      1255 |       1255 |                         openai.types.graders.text_similarity_grader_param
import time:      2323 |       8754 |                       openai.types.graders.multi_grader_param
import time:      1088 |     399203 |                     openai.types.graders
import time:       283 |     399485 |                   openai.types.graders.grader_inputs_param
import time:      2519 |     416555 |                 openai.types.eval_create_params
import time:      1108 |       1108 |                   openai.types.eval_custom_data_source_config
import time:      1010 |       1010 |                   openai.types.eval_stored_completions_data_source_config
import time:      3970 |       6088 |                 openai.types.eval_list_response
import time:      1072 |       1072 |                 openai.types.eval_update_params
import time:      1070 |       1070 |                 openai.types.file_create_params
import time:       803 |        803 |                 openai.types.video_remix_params
import time:       935 |        935 |                 openai.types.batch_create_params
import time:       644 |        644 |                 openai.types.video_create_params
import time:      1916 |       1916 |                 openai.types.eval_create_response
import time:       782 |        782 |                 openai.types.eval_delete_response
import time:      2545 |       2545 |                 openai.types.eval_update_response
import time:       860 |        860 |                 openai.types.upload_create_params
import time:       794 |        794 |                 openai.types.vector_store_deleted
import time:       694 |        694 |                 openai.types.audio_response_format
import time:       787 |        787 |                 openai.types.container_list_params
import time:      1598 |       1598 |                 openai.types.image_generate_params
import time:      1172 |       1172 |                 openai.types.video_delete_response
import time:      2601 |       2601 |                 openai.types.eval_retrieve_response
import time:      1210 |       1210 |                   openai.types.other_file_chunking_strategy_object
import time:       821 |        821 |                     openai.types.static_file_chunking_strategy
import time:      1068 |       1888 |                   openai.types.static_file_chunking_strategy_object
import time:      1605 |       4702 |                 openai.types.file_chunking_strategy
import time:      1269 |       1269 |                   openai.types.image_gen_completed_event
import time:       841 |        841 |                   openai.types.image_gen_partial_image_event
import time:      1207 |       3316 |                 openai.types.image_gen_stream_event
import time:       638 |        638 |                 openai.types.upload_complete_params
import time:       863 |        863 |                 openai.types.container_create_params
import time:      1206 |       1206 |                 openai.types.container_list_response
import time:       779 |        779 |                 openai.types.embedding_create_params
import time:      1382 |       1382 |                   openai.types.image_edit_completed_event
import time:       927 |        927 |                   openai.types.image_edit_partial_image_event
import time:      1197 |       3505 |                 openai.types.image_edit_stream_event
import time:      1015 |       1015 |                 openai.types.completion_create_params
import time:       561 |        561 |                     openai.types.moderation_text_input_param
import time:       743 |        743 |                     openai.types.moderation_image_url_input_param
import time:       974 |       2277 |                   openai.types.moderation_multi_modal_input_param
import time:       856 |       3132 |                 openai.types.moderation_create_params
import time:       873 |        873 |                 openai.types.vector_store_list_params
import time:      1786 |       1786 |                 openai.types.container_create_response
import time:      1240 |       1240 |                 openai.types.create_embedding_response
import time:       801 |        801 |                 openai.types.moderation_create_response
import time:       732 |        732 |                     openai.types.auto_file_chunking_strategy_param
import time:       676 |        676 |                       openai.types.static_file_chunking_strategy_param
import time:       924 |       1600 |                     openai.types.static_file_chunking_strategy_object_param
import time:      1232 |       3563 |                   openai.types.file_chunking_strategy_param
import time:       997 |       4560 |                 openai.types.vector_store_create_params
import time:      1296 |       1296 |                 openai.types.vector_store_search_params
import time:      1193 |       1193 |                 openai.types.vector_store_update_params
import time:      1737 |       1737 |                 openai.types.container_retrieve_response
import time:      2000 |       2000 |                 openai.types.vector_store_search_response
import time:      1384 |       1384 |                 openai.types.websocket_connection_options
import time:      1262 |       1262 |                 openai.types.image_create_variation_params
import time:       857 |        857 |                 openai.types.video_download_content_params
import time:     16198 |     629231 |               openai.types
import time:      1192 |       1192 |                 openai._exceptions
import time:      1103 |       1103 |                 openai._qs
import time:       676 |        676 |                 openai._version
import time:      1056 |       1056 |                 openai._streaming
import time:      1777 |       1777 |                       argparse
import time:      1013 |       1013 |                       shlex
import time:      2774 |       5563 |                     distro.distro
import time:      1197 |       6760 |                   distro
import time:      1340 |       1340 |                   openai._response
import time:       851 |        851 |                   openai._legacy_response
import time:       618 |        618 |                   httpx_aiohttp
import time:      3703 |      13270 |                 openai._base_client
import time:      2475 |      19769 |               openai._client
import time:       734 |        734 |               openai._utils._resources_proxy
import time:       781 |        781 |                   openai.lib._pydantic
import time:      1044 |       1825 |                 openai.lib._tools
import time:       839 |        839 |                   openai.lib._parsing._completions
import time:       885 |       1723 |                 openai.lib._parsing
import time:       988 |       4535 |               openai.lib
import time:      1043 |       1043 |               openai.lib.azure
import time:       552 |        552 |               openai.version
import time:       672 |        672 |               openai.lib._old_api
import time:      1905 |       1905 |                     openai.types.beta.thread
import time:       838 |        838 |                         openai.types.beta.function_tool
import time:      1631 |       1631 |                         openai.types.beta.file_search_tool
import time:       859 |        859 |                         openai.types.beta.code_interpreter_tool
import time:      1266 |       4592 |                       openai.types.beta.assistant_tool
import time:       692 |        692 |                       openai.types.beta.assistant_response_format_option
import time:      2076 |       7360 |                     openai.types.beta.assistant
import time:       766 |        766 |                     openai.types.beta.thread_deleted
import time:      1266 |       1266 |                     openai.types.beta.chatkit_workflow
import time:       835 |        835 |                     openai.types.beta.assistant_deleted
import time:       659 |        659 |                     openai.types.beta.function_tool_param
import time:       789 |        789 |                       openai.types.beta.file_search_tool_param
import time:       576 |        576 |                       openai.types.beta.code_interpreter_tool_param
import time:       970 |       2334 |                     openai.types.beta.assistant_tool_param
import time:       551 |        551 |                             openai.types.beta.threads.run_status
import time:      1356 |       1356 |                                 openai.types.beta.assistant_tool_choice_function
import time:      1094 |       2450 |                               openai.types.beta.assistant_tool_choice
import time:       779 |       3229 |                             openai.types.beta.assistant_tool_choice_option
import time:      1001 |       1001 |                             openai.types.beta.threads.required_action_function_tool_call
import time:      4536 |       9315 |                           openai.types.beta.threads.run
import time:      1228 |       1228 |                               openai.types.beta.threads.file_path_annotation
import time:      1139 |       1139 |                               openai.types.beta.threads.file_citation_annotation
import time:      1337 |       3704 |                             openai.types.beta.threads.annotation
import time:      1148 |       4851 |                           openai.types.beta.threads.text
import time:       763 |        763 |                               openai.types.beta.threads.text_content_block
